"listing_id","listing","advertised_price","distance_miles","distance_band","beds","manual_classification","evidence_note","reviewed_date","prior_text_judgment","prior_text_audit_status","prior_text_evidence","saved_photo_count","original_listing_url"
"ocpsq86tm4","4bed 4bath Apartment Near Centennial Campus","$725","1.590319281",">1–3 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","The unit is located in the Lake Park Condos apartment , each bedroom comes with attached bathroom, full size walk-in closet, ceiling fan, internet.","14","https://offcampus.dasa.ncsu.edu/housing/property/4bed-4bath-apartment-near-centennial-campus/ocpsq86tm4"
"ocp2gxtxqc","The Station","$969","2.152909218",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","The Station","1","https://offcampus.dasa.ncsu.edu/housing/property/the-station/ocp2gxtxqc"
"pxc3rhs","Room in Condo on Crab Orchard Dr","$675","1.660043019",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Room for rent: Fresh, neutral paint throughout and new carpet in all the bedrooms.","20","https://offcampus.dasa.ncsu.edu/housing/property/room-in-condo-on-crab-orchard-dr/pxc3rhs"
"ocppbmmgnt","5 bedroom townhome available near NC State","$650","2.375235559",">1–3 mi","2 Beds","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","5 bedroom townhome available near NC State","13","https://offcampus.dasa.ncsu.edu/housing/property/5-bedroom-townhome-available-near-nc-state/ocppbmmgnt"
"ocp176ghy4","Campus Crossings Raleigh","$865","2.375099776",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Campus Crossings Raleigh","4","https://offcampus.dasa.ncsu.edu/housing/property/campus-crossings-raleigh/ocp176ghy4"
"ocpx51p4tm","Condo near NCSU","$800","1.625432361",">1–3 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Condo near NCSU","13","https://offcampus.dasa.ncsu.edu/housing/property/condo-near-ncsu/ocpx51p4tm"
"x5wd0zn","Room in House on Pineland Cir","$700","1.688144235",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Room for rent: Duplex located in the heart of Raleigh close to NC State University.","14","https://offcampus.dasa.ncsu.edu/housing/property/room-in-house-on-pineland-cir/x5wd0zn"
"ocphdtdgk2","105 Friendly Drive! Furnished Room Rentals with Utilities!","$775 - $1,050","0.734302196","0–1 mi","2 - 4 Beds","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Private Bedroom + Private Bathroom – No sharing required!","8","https://offcampus.dasa.ncsu.edu/housing/property/105-friendly-drive-furnished-room-rentals-with-utilities/ocphdtdgk2"
"ocp4lh373j","Hub Raleigh – 4x2 Lease Takeover, Available Now","$1,199","1.249575868",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","This is a 4 bedroom / 2 bathroom furnished unit with utilities included in rent ($1,199/month); parking is available separately if needed.","4","https://offcampus.dasa.ncsu.edu/housing/property/hub-raleigh-4x2-lease-takeover-available-now/ocp4lh373j"
"ocp5cx5drn","Valentine Commons","$1,000 - $1,300","0.636006642","0–1 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","The bedrooms come with a bed frame, mattress, wardrobe, desk, and chair.","11","https://offcampus.dasa.ncsu.edu/housing/property/valentine-commons/ocp5cx5drn"
"se736e5","College Inn","$859 - $1,275","0.246460777","0–1 mi","2 - 4 Beds","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","The College Inn is a superior alternative to dorm life — we offer the luxury of private bedrooms, the convenience of campus across the street, and dining and shopping right down the street.","25","https://offcampus.dasa.ncsu.edu/housing/property/college-inn/se736e5"
"ocp1ddchy6","Village Green","$930","1.966488918",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Looking for a female preferred student to take over my private bedroom lease at Village Green Student Housing near NC State.","15","https://offcampus.dasa.ncsu.edu/housing/property/village-green/ocp1ddchy6"
"kf77vv8","Room in Condo on Collegiate Cir","$675","1.630531465",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Room for rent: Upgrade your living situation with this great 4 bed, 4 bath apartment.","9","https://offcampus.dasa.ncsu.edu/housing/property/room-in-condo-on-collegiate-cir/kf77vv8"
"ocphycq162","Cozy house 10 min walk to campus","$1,500","1.258758084",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Private Bedroom Available in Cozy 2BR/2BA Home — Ideal for Graduate Students, Faculty &amp; Staff","4","https://offcampus.dasa.ncsu.edu/housing/property/cozy-house-10-min-walk-to-campus/ocphycq162"
"hz5leg1","Room in Townhome on Ivory Run Way","$690","2.412561562",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Room for rent: Three-floor, spacious townhome-style corner condo in Southwest Raleigh, minutes from NC State!","18","https://offcampus.dasa.ncsu.edu/housing/property/room-in-townhome-on-ivory-run-way/hz5leg1"
"ocpszqbd35","Signature 1505 4X4 Apartment","$1,230","1.309798751",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Signature 1505 4X4 Apartment","6","https://offcampus.dasa.ncsu.edu/housing/property/signature-1505-4x4-apartment/ocpszqbd35"
"jkg82q6","Room in House on Joyner Pl","$700","4.517",">3–5 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Room for rent: Brookhaven beauty!","20","https://offcampus.dasa.ncsu.edu/housing/property/room-in-house-on-joyner-pl/jkg82q6"
"ocp0gblz91","Great value in beautiful SW Raleigh","$850","3.495",">3–5 mi","1 Bed","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Your own wing of a nice modern townhouse, including a partially furnished bedroom (comfortable queen size bed and night-stand), full spacious private bathroom, and an additional bonus bedroom you can use for studying, gaming, or extra living space.","5","https://offcampus.dasa.ncsu.edu/housing/property/great-value-in-beautiful-sw-raleigh/ocp0gblz91"
"ocpteqgjg8","Huge modern studio suite- private entrance and beth- near NCSU","$1,150","2.969896437",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","​No pets and single occupancy only.","5","https://offcampus.dasa.ncsu.edu/housing/property/huge-modern-studio-suite-private-entrance-and-beth-near-ncsu/ocpteqgjg8"
"33f756e","University Village at 2505","$799","2.237819087",">1–3 mi","4 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","University Village at 2505","25","https://offcampus.dasa.ncsu.edu/housing/property/university-village-at-2505/33f756e"
"zfenc9w","Room in Condo on Wolfmill Dr","$720","2.240360936",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Room for rent: Rooms available in University Woods 3BR/3BA condo on the 3rd floor near NC State University in Raleigh.","8","https://offcampus.dasa.ncsu.edu/housing/property/room-in-condo-on-wolfmill-dr/zfenc9w"
"49jmmdh","Room in Townhome on Haskell Dr","$563","4.067",">3–5 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Room for rent: Spacious Raleigh townhome ideal for roommates.","16","https://offcampus.dasa.ncsu.edu/housing/property/room-in-townhome-on-haskell-dr/49jmmdh"
"bq6wzsb","Room in House on Quartz Ct","$685","4.731",">3–5 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Room for rent: Located in a desirable neighborhood.","6","https://offcampus.dasa.ncsu.edu/housing/property/room-in-house-on-quartz-ct/bq6wzsb"
"ocp4t7wmxk","University Oaks","$725","0.456914407","0–1 mi","3 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","University Oaks","4","https://offcampus.dasa.ncsu.edu/housing/property/university-oaks/ocp4t7wmxk"
