listing_id,listing,advertised_price,rent_low_numeric,rent_high_numeric,advertised_midpoint_excel,distance_miles,distance_band,any_utility_classification_basis,core_utilities_included_from_structured_fields,all_5_core_structured,portal_utility_line_items_verbatim,description_utility_wording_verbatim,all_utilities_explicit_manual,all_utilities_exact_wording,all_utilities_manual_review_note,internet_wifi_explicit,internet_wifi_evidence,required_monthly_fees_portal,original_listing_url
ocpepvxvln,Village Green Student Living,$831,831.00,831.00,=AVERAGE(D23:E23),1.815869405,>1–3 mi,Saved description,,No,,The price of parking and all utilities are included in the base rent fee of ~$831/month.,Yes,The price of parking and all utilities are included in the base rent fee of ~$831/month.,Manual review: saved wording explicitly states all utilities are included/inclusive.,No,,None,https://offcampus.dasa.ncsu.edu/housing/property/village-green-student-living/ocpepvxvln
ocpgxr290w,Spacious Forest Park Two-Room Suite + Private Bath - Walk to Campus (Includes Utilities),"$1,225",1225.00,1225.00,=AVERAGE(D24:E24),1.604060636,>1–3 mi,Saved listing title,,No,,Spacious Forest Park Two-Room Suite + Private Bath - Walk to Campus (Includes Utilities),No,,,No,,None,https://offcampus.dasa.ncsu.edu/housing/property/spacious-forest-park-two-room-suite-private-bath-walk-to-campus-includes-utilities/ocpgxr290w
ocpsd8dpj6,Spacious En-suite with private patio and garage parking in Crescent Ridge Townhome Community,$900,900.00,900.00,=AVERAGE(D25:E25),2.725369678,>1–3 mi,Structured utility fields + saved description,Electricity; Gas; Heat; Trash Removal; Water/Sewer,Yes,"Electricity: Included
Gas: Included
Heat: Included
High-Speed Internet: Included
Recycling: Included
Trash Removal: Included
Water/Sewer: Included",Internet and utilities are included as well as garage parking and access to the neighborhood pool.,No,,,Yes,High-Speed Internet: Included | Internet and utilities are included as well as garage parking and access to the neighborhood pool.,None,https://offcampus.dasa.ncsu.edu/housing/property/spacious-en-suite-with-private-patio-and-garage-parking-in-crescent-ridge-townhome-community/ocpsd8dpj6
ocp2gxtxqc,The Station,$969,969.00,969.00,=AVERAGE(D26:E26),2.152909218,>1–3 mi,Saved description,,No,,"The unit includes in-unit laundry, parking, and utilities are included, making it super convenient and hassle-free.",No,,,No,,None,https://offcampus.dasa.ncsu.edu/housing/property/the-station/ocp2gxtxqc
ocppbmmgnt,5 bedroom townhome available near NC State,$650,650.00,650.00,=AVERAGE(D27:E27),2.375235559,>1–3 mi,Structured utility fields,Trash Removal,No,"Recycling: Included
Trash Removal: Included",,No,,,No,,None,https://offcampus.dasa.ncsu.edu/housing/property/5-bedroom-townhome-available-near-nc-state/ocppbmmgnt
ocpx51p4tm,Condo near NCSU,$800,800.00,800.00,=AVERAGE(D28:E28),1.625432361,>1–3 mi,Saved description,,No,,"All utilities (wifi, electricity, water) are included.",No,,,Yes,"All utilities (wifi, electricity, water) are included.",None,https://offcampus.dasa.ncsu.edu/housing/property/condo-near-ncsu/ocpx51p4tm
ocphdtdgk2,105 Friendly Drive! Furnished Room Rentals with Utilities!,"$775 - $1,050",775.00,1050.00,=AVERAGE(D29:E29),0.734302196,0–1 mi,Structured utility fields + saved description,Electricity; Heat; Trash Removal; Water/Sewer,No,"Cable: Included
Electricity: Included
Heat: Included
High-Speed Internet: Included
Trash Removal: Included
Water/Sewer: Included",High-Speed Internet & Utilities INCLUDED – Stay connected and stress-free.,No,,,Yes,High-Speed Internet: Included | High-Speed Internet & Utilities INCLUDED – Stay connected and stress-free.,$10,https://offcampus.dasa.ncsu.edu/housing/property/105-friendly-drive-furnished-room-rentals-with-utilities/ocphdtdgk2
ocp4lh373j,"Hub Raleigh – 4x2 Lease Takeover, Available Now","$1,199",1199.00,1199.00,=AVERAGE(D30:E30),1.249575868,>1–3 mi,Saved description,,No,,"This is a 4 bedroom / 2 bathroom furnished unit with utilities included in rent ($1,199/month); parking is available separately if needed.",No,,,No,,None,https://offcampus.dasa.ncsu.edu/housing/property/hub-raleigh-4x2-lease-takeover-available-now/ocp4lh373j
se736e5,College Inn,"$859 - $1,275",859.00,1275.00,=AVERAGE(D31:E31),0.246460777,0–1 mi,Structured utility fields,Electricity; Gas; Heat; Water/Sewer,No,"Electricity: Included
Gas: Included
Heat: Included
High-Speed Internet: Included
Water/Sewer: Included",,No,,,Yes,High-Speed Internet: Included,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/college-inn/se736e5
ocp0gblz91,Great value in beautiful SW Raleigh,$850,850.00,850.00,=AVERAGE(D32:E32),3.494769248,>3–5 mi,Saved description,,No,,"ALL utilities included (i.e., high speed internet, electricity/gas, water, etc.).",Yes,"ALL utilities included (i.e., high speed internet, electricity/gas, water, etc.).",Manual review: saved wording explicitly states all utilities are included/inclusive.,Yes,"ALL utilities included (i.e., high speed internet, electricity/gas, water, etc.).",None,https://offcampus.dasa.ncsu.edu/housing/property/great-value-in-beautiful-sw-raleigh/ocp0gblz91
ocpteqgjg8,Huge modern studio suite- private entrance and beth- near NCSU,"$1,150",1150.00,1150.00,=AVERAGE(D33:E33),2.969896437,>1–3 mi,Saved description,,No,,"Stress-Free Living: Rent includes electricity, water, gas, trash, and ultra-high-speed Wi-Fi (capped at reasonable monthly usage).",No,,,Yes,"Stress-Free Living: Rent includes electricity, water, gas, trash, and ultra-high-speed Wi-Fi (capped at reasonable monthly usage).",None,https://offcampus.dasa.ncsu.edu/housing/property/huge-modern-studio-suite-private-entrance-and-beth-near-ncsu/ocpteqgjg8
ocp4t7wmxk,University Oaks,$725,725.00,725.00,=AVERAGE(D34:E34),0.456914407,0–1 mi,Saved description,,No,,"Utilities included: Water, WiFi, and electricity!",No,,,Yes,"Utilities included: Water, WiFi, and electricity!",None,https://offcampus.dasa.ncsu.edu/housing/property/university-oaks/ocp4t7wmxk
ocpq99qjpx,Apartment close to NCSU,$645,645.00,645.00,=AVERAGE(D35:E35),1.653317243,>1–3 mi,Structured utility fields + saved description,Electricity; Water/Sewer,No,"Electricity: Included
Water/Sewer: Included",All appliances and utilities are included in the rent for a hassle-free living experience.,No,,,No,,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/apartment-close-to-ncsu/ocpq99qjpx
ocps6ymwl7,University Woods,$600,600.00,600.00,=AVERAGE(D36:E36),2.123645671,>1–3 mi,Structured utility fields + saved description,Electricity; Water/Sewer,No,"Electricity: Included
Water/Sewer: Included",Water and electric are included with a cap.,No,,,No,,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/university-woods/ocps6ymwl7
ocpvgtpebg,Lake Park Condos- Room Rental with Utilities,$500 - $600,500.00,600.00,=AVERAGE(D37:E37),1.637356936,>1–3 mi,Structured utility fields + saved description,Electricity; Water/Sewer,No,"Electricity: Included
Water/Sewer: Included",Water and electric are included with a cap.,No,,,No,,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/lake-park-condos-room-rental-with-utilities/ocpvgtpebg
5hme2mn,The Station Raleigh,"$749 - $1,930",749.00,1930.00,=AVERAGE(D38:E38),2.173712249,>1–3 mi,Structured utility fields,Gas; Heat; Trash Removal; Water/Sewer,No,"Air Conditioning: Included
Cable: Included
Gas: Included
Heat: Included
High-Speed Internet: Included
Trash Removal: Included
Water/Sewer: Included",,No,,,Yes,High-Speed Internet: Included,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/the-station-raleigh/5hme2mn
lpl9fce,"2850 Sanderford Rd (Raleigh, NC)",$650,650.00,650.00,=AVERAGE(D39:E39),4.772916888,>3–5 mi,Structured utility fields + saved description,Electricity; Trash Removal; Water/Sewer,No,"Electricity: Included
Trash Removal: Included
Water/Sewer: Included","Water, sewage, trash, internet and power all included",No,,,Yes,"Water, sewage, trash, internet and power all included",Not reported,https://offcampus.dasa.ncsu.edu/housing/property/2850-sanderford-rd-raleigh-nc/lpl9fce
ocp67ldb5s,The Wilde,$860,860.00,860.00,=AVERAGE(D40:E40),2.038270328,>1–3 mi,Saved description,,No,,The $860 rent is all inclusive of fees and utilities outside of 1 time administrative fees.,Yes,The $860 rent is all inclusive of fees and utilities outside of 1 time administrative fees.,Manual review: saved wording explicitly states all utilities are included/inclusive.,No,,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/the-wilde/ocp67ldb5s
ocp0psn632,An apartments with 3 bed and 3 bath for NC State Students www.ncstudentsliving.com,$650,650.00,650.00,=AVERAGE(D41:E41),2.262000465,>1–3 mi,Structured utility fields,Trash Removal; Water/Sewer,No,"Recycling: Included
Trash Removal: Included
Water/Sewer: Included",,No,,,No,,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/an-apartments-with-3-bed-and-3-bath-for-nc-state-students-www-ncstudentsliving-com/ocp0psn632
ocp5lwrmvq,"Convenient Kaplan Dr property near NCSU buses, park, grocery, with parking space & private bathroom",$675,675.00,675.00,=AVERAGE(D42:E42),0.716855117,0–1 mi,Saved description,,No,,"Base rent is $675, so listed price is with utilities and internet.",No,,,Yes,"Base rent is $675, so listed price is with utilities and internet.",Not reported,https://offcampus.dasa.ncsu.edu/housing/property/convenient-kaplan-dr-property-near-ncsu-buses-park-grocery-with-parking-space-and-private-bathroom/ocp5lwrmvq
COUNT,Excel count of 41 listings,,=COUNT(D2:D42),=COUNT(E2:E42),=COUNT(F2:F42),,,,,,,,,,,No,,,
SUM,Sum of advertised listing values,,=SUM(D2:D42),=SUM(E2:E42),=SUM(F2:F42),,,,,,,,,,,No,,,
MEAN,Mean advertised rent using listing midpoints,,=AVERAGE(D2:D42),=AVERAGE(E2:E42),=AVERAGE(F2:F42),,,,,,,,,,,No,,,
SUM ÷ COUNT CHECK,Same mean calculated explicitly,,=D45/D44,=E45/E44,=F45/F44,,,,,,,,,,,No,,,
