listing_id,listing,advertised_price,rent_low,rent_high,midpoint,main_distance_miles,main_distance_band,original_listing_url
ocpszqbd35,Signature 1505 4X4 Apartment,"$1,230",1230.00,1230.00,1230.00,1.309798751,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/signature-1505-4x4-apartment/ocpszqbd35
jkg82q6,Room in House on Joyner Pl,$700,700.00,700.00,700.00,4.516524137,>3–5 mi,https://offcampus.dasa.ncsu.edu/housing/property/room-in-house-on-joyner-pl/jkg82q6
ocp0gblz91,Great value in beautiful SW Raleigh,$850,850.00,850.00,850.00,3.494769248,>3–5 mi,https://offcampus.dasa.ncsu.edu/housing/property/great-value-in-beautiful-sw-raleigh/ocp0gblz91
ocpteqgjg8,Huge modern studio suite- private entrance and beth- near NCSU,"$1,150",1150.00,1150.00,1150.00,2.969896437,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/huge-modern-studio-suite-private-entrance-and-beth-near-ncsu/ocpteqgjg8
33f756e,University Village at 2505,$799,799.00,799.00,799.00,2.237819087,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/university-village-at-2505/33f756e
zfenc9w,Room in Condo on Wolfmill Dr,$720,720.00,720.00,720.00,2.240360936,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/room-in-condo-on-wolfmill-dr/zfenc9w
49jmmdh,Room in Townhome on Haskell Dr,$563,563.00,563.00,563.00,4.067310842,>3–5 mi,https://offcampus.dasa.ncsu.edu/housing/property/room-in-townhome-on-haskell-dr/49jmmdh
bq6wzsb,Room in House on Quartz Ct,$685,685.00,685.00,685.00,4.730619122,>3–5 mi,https://offcampus.dasa.ncsu.edu/housing/property/room-in-house-on-quartz-ct/bq6wzsb
ocp4t7wmxk,University Oaks,$725,725.00,725.00,725.00,0.456914407,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/university-oaks/ocp4t7wmxk
ocp90bdzb4,Brick Bungalow close to Campus,"$1,050",1050.00,1050.00,1050.00,3.543884361,>3–5 mi,https://offcampus.dasa.ncsu.edu/housing/property/brick-bungalow-close-to-campus/ocp90bdzb4
ocpq99qjpx,Apartment close to NCSU,$645,645.00,645.00,645.00,1.653317243,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/apartment-close-to-ncsu/ocpq99qjpx
ocps6ymwl7,University Woods,$600,600.00,600.00,600.00,2.123645671,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/university-woods/ocps6ymwl7
