site_id,property_name,college_id,college_name,distance_miles,is_target
"zfcjzqy","Yugo Raleigh Logan","354","2610 Cates Avenue","0.27","true"
"zfcjzqy","Yugo Raleigh Logan","355","1070 Partners Way","0.94","false"
"zfcjzqy","Yugo Raleigh Logan","511","1060 William Moore Dr","2.11","false"
"ocpx3vt61n","FURNISHED NCSU STUDENT HOUSING – TOWNHOME ROOM RENTAL WITH PRIVATE BATHROOM ($850/room)","354","2610 Cates Avenue","2.1","false"
"ocpx3vt61n","FURNISHED NCSU STUDENT HOUSING – TOWNHOME ROOM RENTAL WITH PRIVATE BATHROOM ($850/room)","355","1070 Partners Way","2.54","false"
"ocpx3vt61n","FURNISHED NCSU STUDENT HOUSING – TOWNHOME ROOM RENTAL WITH PRIVATE BATHROOM ($850/room)","511","1060 William Moore Dr","1.4","false"
"9rxe6j6","The Dakota","354","2610 Cates Avenue","3.15","true"
"9rxe6j6","The Dakota","355","1070 Partners Way","3.85","false"
"9rxe6j6","The Dakota","511","1060 William Moore Dr","1.84","false"
"ocp5km4x4p","Private Townhome in North Raleigh","354","2610 Cates Avenue","7.22","false"
"ocp5km4x4p","Private Townhome in North Raleigh","355","1070 Partners Way","9.13","false"
"ocp5km4x4p","Private Townhome in North Raleigh","511","1060 William Moore Dr","7.41","false"
"xr4rsmq","Pine Knoll Apartments","354","2610 Cates Avenue","0.17","false"
"xr4rsmq","Pine Knoll Apartments","355","1070 Partners Way","0","true"
"xr4rsmq","Pine Knoll Apartments","511","1060 William Moore Dr","2.42","false"
"ocpwwwe8yh","FURNISHED TOWNHOME RENTAL – 10 Mins to NCSU - 3 Bedroom - starting $750 per room","354","2610 Cates Avenue","4.37","false"
"ocpwwwe8yh","FURNISHED TOWNHOME RENTAL – 10 Mins to NCSU - 3 Bedroom - starting $750 per room","355","1070 Partners Way","2.99","false"
"ocpwwwe8yh","FURNISHED TOWNHOME RENTAL – 10 Mins to NCSU - 3 Bedroom - starting $750 per room","511","1060 William Moore Dr","7.94","false"
"5je4q3n","Signature 1505","354","2610 Cates Avenue","0.34","true"
"5je4q3n","Signature 1505","355","1070 Partners Way","1.05","false"
"5je4q3n","Signature 1505","511","1060 William Moore Dr","2.51","false"
"ocptf3fhqb","Spacious 2BD/1BA apartment available 08/01/26- 1 block from the NCSU McKimmon Center!","354","2610 Cates Avenue","0.21","false"
"ocptf3fhqb","Spacious 2BD/1BA apartment available 08/01/26- 1 block from the NCSU McKimmon Center!","355","1070 Partners Way","0.71","false"
"ocptf3fhqb","Spacious 2BD/1BA apartment available 08/01/26- 1 block from the NCSU McKimmon Center!","511","1060 William Moore Dr","1.7","false"
"h2l8mh2","Redfield Villages","354","2610 Cates Avenue","0.06","true"
"h2l8mh2","Redfield Villages","355","1070 Partners Way","1.21","false"
"h2l8mh2","Redfield Villages","511","1060 William Moore Dr","1.34","false"
"ocpthnbmc9","Luxury 4 Bedroom 4 Full Bath w free parking, 1 gig internet included. 2027-2028 School yea","354","2610 Cates Avenue","0.13","false"
"ocpthnbmc9","Luxury 4 Bedroom 4 Full Bath w free parking, 1 gig internet included. 2027-2028 School yea","355","1070 Partners Way","0.56","false"
"ocpthnbmc9","Luxury 4 Bedroom 4 Full Bath w free parking, 1 gig internet included. 2027-2028 School yea","511","1060 William Moore Dr","1.93","false"
"vw4rv9e","Signature at Varsity","354","2610 Cates Avenue","0.1","true"
"vw4rv9e","Signature at Varsity","355","1070 Partners Way","0.28","false"
"vw4rv9e","Signature at Varsity","511","1060 William Moore Dr","2.01","false"
"ocp8c26c92","Fully Furnished 3BR Townhome Steps from Lake Johnson","354","2610 Cates Avenue","1.88","false"
"ocp8c26c92","Fully Furnished 3BR Townhome Steps from Lake Johnson","355","1070 Partners Way","1.33","false"
"ocp8c26c92","Fully Furnished 3BR Townhome Steps from Lake Johnson","511","1060 William Moore Dr","3.01","false"
"rf696l2","Madison Hunters Glen","354","2610 Cates Avenue","1.91","false"
"rf696l2","Madison Hunters Glen","355","1070 Partners Way","2.37","false"
"rf696l2","Madison Hunters Glen","511","1060 William Moore Dr","1.22","true"
"ocpszex2v4","Spacious bedroom with private bath in 2BR townhome – 5 minutes to NC State","354","2610 Cates Avenue","0.93","false"
"ocpszex2v4","Spacious bedroom with private bath in 2BR townhome – 5 minutes to NC State","355","1070 Partners Way","1.1","false"
"ocpszex2v4","Spacious bedroom with private bath in 2BR townhome – 5 minutes to NC State","511","1060 William Moore Dr","2.13","false"
"6mnn0qr","Live on Hillsborough","354","2610 Cates Avenue","0.09","true"
"6mnn0qr","Live on Hillsborough","355","1070 Partners Way","1.11","false"
"6mnn0qr","Live on Hillsborough","511","1060 William Moore Dr","1.53","false"
"ocp74dcp6w","Crabtree Woods Townhome West Raleigh","354","2610 Cates Avenue","5.41","false"
"ocp74dcp6w","Crabtree Woods Townhome West Raleigh","355","1070 Partners Way","7.32","false"
"ocp74dcp6w","Crabtree Woods Townhome West Raleigh","511","1060 William Moore Dr","5.6","false"
"nhblm0q","Viceroy Apartments","354","2610 Cates Avenue","22.48","false"
"nhblm0q","Viceroy Apartments","355","1070 Partners Way","25.81","false"
"nhblm0q","Viceroy Apartments","511","1060 William Moore Dr","20.29","true"
"ocpkb0kbhb","Great Location - Connected to Centennial Campus","354","2610 Cates Avenue","0.48","false"
"ocpkb0kbhb","Great Location - Connected to Centennial Campus","355","1070 Partners Way","0","false"
"ocpkb0kbhb","Great Location - Connected to Centennial Campus","511","1060 William Moore Dr","2.64","false"
"jjs8f07","Village Green Student Housing","354","2610 Cates Avenue","2.49","false"
"jjs8f07","Village Green Student Housing","355","1070 Partners Way","0.36","true"
"jjs8f07","Village Green Student Housing","511","1060 William Moore Dr","5.53","false"
"ocpjh4j574","4BD/3.5BA townhome near NCSU & Downtown Raleigh available August 2026!","354","2610 Cates Avenue","0.86","false"
"ocpjh4j574","4BD/3.5BA townhome near NCSU & Downtown Raleigh available August 2026!","355","1070 Partners Way","1.03","false"
"ocpjh4j574","4BD/3.5BA townhome near NCSU & Downtown Raleigh available August 2026!","511","1060 William Moore Dr","2.05","false"
"8gchf40","The Hillsborough","354","2610 Cates Avenue","0.21","true"
"8gchf40","The Hillsborough","355","1070 Partners Way","0.91","false"
"8gchf40","The Hillsborough","511","1060 William Moore Dr","2.02","false"
"ocp032vj21","5 bedroom 5 full Bath luxury house with 1Gig AT&T Fiber and 1 free parking space per bedroom","354","2610 Cates Avenue","1.21","false"
"ocp032vj21","5 bedroom 5 full Bath luxury house with 1Gig AT&T Fiber and 1 free parking space per bedroom","355","1070 Partners Way","2.14","false"
"ocp032vj21","5 bedroom 5 full Bath luxury house with 1Gig AT&T Fiber and 1 free parking space per bedroom","511","1060 William Moore Dr","1.12","false"
"0pm7tt3","Campus West at Tryon","354","2610 Cates Avenue","2.8","false"
"0pm7tt3","Campus West at Tryon","355","1070 Partners Way","1.61","true"
"0pm7tt3","Campus West at Tryon","511","1060 William Moore Dr","3.65","false"
"ocpbhbkvy9","Voyager House","354","2610 Cates Avenue","3.14","false"
"ocpbhbkvy9","Voyager House","355","1070 Partners Way","1.01","false"
"ocpbhbkvy9","Voyager House","511","1060 William Moore Dr","5.58","false"
"e13mz5m","University Suites Student Housing","354","2610 Cates Avenue","2.37","true"
"e13mz5m","University Suites Student Housing","355","1070 Partners Way","6.27","false"
"e13mz5m","University Suites Student Housing","511","1060 William Moore Dr","7.47","false"
"ocpepvxvln","Village Green Student Living","354","2610 Cates Avenue","2.28","false"
"ocpepvxvln","Village Green Student Living","355","1070 Partners Way","0.27","false"
"ocpepvxvln","Village Green Student Living","511","1060 William Moore Dr","5.5","false"
"ocpjpg1817","Gorman Street Village PRE-LEASING for 2026! 3Bed 3Bath w/ Utilities! Upgraded Units Available!","354","2610 Cates Avenue","0.23","false"
"ocpjpg1817","Gorman Street Village PRE-LEASING for 2026! 3Bed 3Bath w/ Utilities! Upgraded Units Available!","355","1070 Partners Way","0.61","false"
"ocpjpg1817","Gorman Street Village PRE-LEASING for 2026! 3Bed 3Bath w/ Utilities! Upgraded Units Available!","511","1060 William Moore Dr","2.04","false"
"ocpgxr290w","Spacious Forest Park Two-Room Suite + Private Bath - Walk to Campus (Includes Utilities)","354","2610 Cates Avenue","0.59","false"
"ocpgxr290w","Spacious Forest Park Two-Room Suite + Private Bath - Walk to Campus (Includes Utilities)","355","1070 Partners Way","1.31","false"
"ocpgxr290w","Spacious Forest Park Two-Room Suite + Private Bath - Walk to Campus (Includes Utilities)","511","1060 William Moore Dr","2.82","false"
"ocpb48f058","Now Pre-Leasing for August 2026! 1 and 3 Bedrooms with Utilities! Marcom St Apartments!","354","2610 Cates Avenue","0.15","false"
"ocpb48f058","Now Pre-Leasing for August 2026! 1 and 3 Bedrooms with Utilities! Marcom St Apartments!","355","1070 Partners Way","0.66","false"
"ocpb48f058","Now Pre-Leasing for August 2026! 1 and 3 Bedrooms with Utilities! Marcom St Apartments!","511","1060 William Moore Dr","1.98","false"
"ocpsd8dpj6","Spacious En-suite with private patio and garage parking in Crescent Ridge Townhome Community","354","2610 Cates Avenue","2.93","false"
"ocpsd8dpj6","Spacious En-suite with private patio and garage parking in Crescent Ridge Townhome Community","355","1070 Partners Way","0.9","false"
"ocpsd8dpj6","Spacious En-suite with private patio and garage parking in Crescent Ridge Townhome Community","511","1060 William Moore Dr","7.84","false"
"xcp87fm","Tryon Flats Apartments","354","2610 Cates Avenue","3.48","false"
"xcp87fm","Tryon Flats Apartments","355","1070 Partners Way","1.6","true"
"xcp87fm","Tryon Flats Apartments","511","1060 William Moore Dr","8.63","false"
"ocpsq86tm4","4bed 4bath Apartment Near Centennial Campus","354","2610 Cates Avenue","1.65","false"
"ocpsq86tm4","4bed 4bath Apartment Near Centennial Campus","355","1070 Partners Way","1.08","false"
"ocpsq86tm4","4bed 4bath Apartment Near Centennial Campus","511","1060 William Moore Dr","3.13","false"
"35cz5ed","644 Coleman St (Raleigh, NC)","354","2610 Cates Avenue","2.96","true"
"35cz5ed","644 Coleman St (Raleigh, NC)","355","1070 Partners Way","2.75","false"
"35cz5ed","644 Coleman St (Raleigh, NC)","511","1060 William Moore Dr","6.12","false"
"ocp2gxtxqc","The Station","354","2610 Cates Avenue","2","false"
"ocp2gxtxqc","The Station","355","1070 Partners Way","3.39","false"
"ocp2gxtxqc","The Station","511","1060 William Moore Dr","0.26","false"
"pxc3rhs","Room in Condo on Crab Orchard Dr","354","2610 Cates Avenue","1.75","false"
"pxc3rhs","Room in Condo on Crab Orchard Dr","355","1070 Partners Way","0.73","true"
"pxc3rhs","Room in Condo on Crab Orchard Dr","511","1060 William Moore Dr","3.06","false"
"ocppbmmgnt","5 bedroom townhome available near NC State","354","2610 Cates Avenue","3.05","false"
"ocppbmmgnt","5 bedroom townhome available near NC State","355","1070 Partners Way","1.54","false"
"ocppbmmgnt","5 bedroom townhome available near NC State","511","1060 William Moore Dr","7.67","false"
"tqbb2mb","Room in House on Okelly St","354","2610 Cates Avenue","0.26","true"
