site_id,property_name,category_id,category_name,amenity_id,amenity_name
"59xvx3n","Aventura RTP","Unit Features","Unit Features","21","Hardwood Floors"
"59xvx3n","Aventura RTP","Unit Features","Unit Features","303","High-Speed Internet Available"
"59xvx3n","Aventura RTP","Unit Features","Unit Features","6","Patio, Balcony, Porch or Deck"
"59xvx3n","Aventura RTP","Unit Features","Unit Features","41","Smoke-Free"
"59xvx3n","Aventura RTP","Community Features","Community Features","265","Clubhouse"
"59xvx3n","Aventura RTP","Community Features","Community Features","45","Fitness Room"
"59xvx3n","Aventura RTP","Community Features","Community Features","10","Pool"
"59xvx3n","Aventura RTP","Community Features","Community Features","11","Tennis Court"
"59xvx3n","Aventura RTP","Laundry","Laundry","9","Washer/Dryer in Unit"
"59xvx3n","Aventura RTP","Convenient For","Convenient For","981","Undergraduates"
"59xvx3n","Aventura RTP","Convenient For","Convenient For","982","Graduate Students"
"59xvx3n","Aventura RTP","Convenient For","Convenient For","983","Faculty/Staff"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","*in select homes"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","24 Hour Fitness Center"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","9' High Ceilings"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Attached Garage*"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Balcony, Patio, & Sunroom Options"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Bark Park"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","BBQ Grill"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Carports"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Club House with Rentable Space"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Convenient Valet Trash"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Corporate Housing Available"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Designer Quartz Countertops*"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Detached Garages"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Gas Fireplace"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Gas Stoves"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Hardwood Flooring *"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Indoor Heated Pool"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Internet & Cable Package"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Microwave*"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Monthly Community Events"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","On-site Maintenance"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Online Rent Payment Portal"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Remote Working Space"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Renovated Apartment Homes Now Available*"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Stainless Steel Appliances *"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Storage"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Subway Tile Backsplash"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Upgraded Lighting Package"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Upgraded Shaker-style Cabinetry*"
"59xvx3n","Aventura RTP","Unique Features","Unique Features","","Walk-in Closet"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","Unit Features","Unit Features","1","Air Conditioning"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","Unit Features","Unit Features","26","Dishwasher"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","Unit Features","Unit Features","21","Hardwood Floors"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","Unit Features","Unit Features","41","Smoke-Free"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","Community Features","Community Features","10","Pool"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","Laundry","Laundry","9","Washer/Dryer in Unit"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","Convenient For","Convenient For","981","Undergraduates"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","Convenient For","Convenient For","982","Graduate Students"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","Convenient For","Convenient For","983","Faculty/Staff"
"7e6kx1w","Centennial Ridge Student Housing","Unit Features","Unit Features","1","Air Conditioning"
"7e6kx1w","Centennial Ridge Student Housing","Unit Features","Unit Features","20","Carpet"
"7e6kx1w","Centennial Ridge Student Housing","Unit Features","Unit Features","15","Disability Accessible"
"7e6kx1w","Centennial Ridge Student Housing","Unit Features","Unit Features","26","Dishwasher"
"7e6kx1w","Centennial Ridge Student Housing","Unit Features","Unit Features","82","Garbage Disposal"
"7e6kx1w","Centennial Ridge Student Housing","Unit Features","Unit Features","303","High-Speed Internet Available"
"7e6kx1w","Centennial Ridge Student Housing","Unit Features","Unit Features","41","Smoke-Free"
"7e6kx1w","Centennial Ridge Student Housing","Community Features","Community Features","265","Clubhouse"
"7e6kx1w","Centennial Ridge Student Housing","Community Features","Community Features","45","Fitness Room"
"7e6kx1w","Centennial Ridge Student Housing","Community Features","Community Features","46","Individual Leases"
"7e6kx1w","Centennial Ridge Student Housing","Community Features","Community Features","44","Roommate Matching"
"7e6kx1w","Centennial Ridge Student Housing","Lease Information","Lease Information","18","Flexible/Other lease"
"7e6kx1w","Centennial Ridge Student Housing","Laundry","Laundry","104","Laundry Access"
"7e6kx1w","Centennial Ridge Student Housing","Laundry","Laundry","12","Laundry Room in Community"
"7e6kx1w","Centennial Ridge Student Housing","Laundry","Laundry","9","Washer/Dryer in Unit"
"7e6kx1w","Centennial Ridge Student Housing","Convenient For","Convenient For","981","Undergraduates"
"7e6kx1w","Centennial Ridge Student Housing","Convenient For","Convenient For","982","Graduate Students"
"7e6kx1w","Centennial Ridge Student Housing","Convenient For","Convenient For","983","Faculty/Staff"
"7e6kx1w","Centennial Ridge Student Housing","Unique Features","Unique Features","","Complimentary Coffee Bar"
"7e6kx1w","Centennial Ridge Student Housing","Unique Features","Unique Features","","Dishwasher"
"7e6kx1w","Centennial Ridge Student Housing","Unique Features","Unique Features","","Largest Bedrooms in Raleigh"
"7e6kx1w","Centennial Ridge Student Housing","Unique Features","Unique Features","","Luxer One Parcel Locker"
"7e6kx1w","Centennial Ridge Student Housing","Unique Features","Unique Features","","Minutes from NCSU and Wake Tech"
"7e6kx1w","Centennial Ridge Student Housing","Unique Features","Unique Features","","On Wolfline Bus Route"
"7e6kx1w","Centennial Ridge Student Housing","Unique Features","Unique Features","","Outdoor Lounge"
"7e6kx1w","Centennial Ridge Student Housing","Unique Features","Unique Features","","Walk-In Closet"
"7e6kx1w","Centennial Ridge Student Housing","Unique Features","Unique Features","","Washer and Dryer"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","1","Air Conditioning"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","20","Carpet"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","26","Dishwasher"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","80","Extra Storage"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","8","Fireplace"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","7","Furnished"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","82","Garbage Disposal"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","Unit Features","Unit Features","83","Garden/Yard"
